name,lat,lon
VST-441_-018_360.4_N154_GW.22,2035.233,2145.639
VST-GH56485C_-006_332.5_N101_GW.22,2021.17,2116.837
P-GH55924B_-074_335.0_N224_GW.20,2496.697,2393.677
P-GH56763B_-155_353.5_N272_GW.22,1712.716,2047.251
P-GH54700C_-397_395.7_N229_GW.22,3500.021,3223.24
P-GH54700D_-397_400.7_N229_GW.22,3500.021,3223.24
P-GH56866A_-070_348.3_N283_GW.20,1714.13,1954.06
P-GH56866B_-070_350.8_N283_GW.20,1714.13,1954.06
P-GH56866C_-070_363.8_N283_GW.20,1714.13,1954.06
P-GH56866D_-070_371.3_N283_GW.20,1714.13,1954.06
P-GH55924C_-074_354.0_N224_GW.20,2496.697,2393.677
P-GH55924E_-074_365.0_N224_GW.20,2496.697,2393.677
P-GH55950E_-302_361.2_N043_GW.21,2392.773,2598.477
P-EF62160E_-274_357.2_N183_GW.20,1765.476,2191.219
P-EF62160F_-274_381.7_N183_GW.20,1765.476,2191.219
P-EF62160G_-274_342.7_N183_GW.20,1765.476,2191.219
P-EF62160H_-274_369.7_N183_GW.20,1765.476,2191.219
P-EF62160I_-274_391.7_N183_GW.20,1765.476,2191.219
P-GH55613A_-1052_383.4_N237_GW.22,2320.592,3404.346
P-GH55613B_-1052_358.4_N237_GW.22,2320.592,3404.346
P-GH55613C_-1052_344.4_N237_GW.22,2320.592,3404.346
P-GH55613D_-1052_368.4_N237_GW.22,2320.592,3404.346
107362_LS-G6-DIG-2-FCC: 1-Chn1,7831.73049,2777.316832
PD-V2-0300-A_+003_423.7_N43116_GW.20,2639.572,6618.953
PF-V2-0300-B_+003_416.1_N60134_GW.20,2637.683,6614.371
PF-V2-0300-C_+003_409.3_N60038_GW.20,2635.583,6608.744
VIB-AB45000-TOE_N131228_GW.21,5199.676151,5945.993566
VIB-AB45000-CREST_N131193_GW.21,5090.850202,5879.675917
Weather Station Kaddivaara_N107600_GW.20,3759.089698,2928.052977
VIB-AB46500-CREST_N131263_GW.21,5484.802422,5057.485158
VIB-CD47500-CREST_N131299_GW.21,5184.767855,4331.952975
VIB-GH55500-CREST_N131321_GW.20,2737.150448,2550.360662
VIB-GH56800-CREST_N131303_GW.23,1703.167359,2079.970283
VIB-GH56800-TOE_N131244_GW.23,1665.379046,1821.873663
VIB-EF63500-CREST_N131344_GW.23,761.9083814,3098.110775
VST-EF62643B_+016_331.9_N130_GW.22,1205.5,2409.57
VST-216_-015_350.8_N125_GW.22,1287.321,2376.189
VST-381_+011_350.5_N77490_GW.23,476.277,1294.061
VST-2_+010_337.7_N60531_GW.23,261.971,1307.173
VST-382_+011_350.3_N77329_GW.23,262.391,1307.846
P-IJ0375A_+011_345.7_N43165_GW.23,311.702,1303.224
VST-323_+012_343.1_N775121_GW.23,196.516,1361.56
VST-324_+012_338.9_N60397_GW.23,194.945,1362.997
VST-325_+006_347.1_N77173_GW.23,200.18,1366.24
VST-326_+017_323.7_N43420_GW.23,194.234,1355.905
VST-383_+011_350.4_N604351_GW.23,196.925,1361.902
VST-333_+011_343.2_N77331_GW.23,6.092999979,1523.293
VST-385_+010_350.2_N77216_GW.23,-133.61,1731.19
P-IJ1313A_+010_345.9_N59879_GW.23,-146.092,2022.779
P-IJ1313B_+011_342.7_N59894_GW.23,-147.451,2024.824
P-IJ1313C_+012_339.8_N43224_GW.23,-148.03,2022.908
VST-353_+011_345.1_N77189_GW.23,-148.302,2018.709
VST-354_+011_342.5_N771811_GW.23,-148.092,2020.6
VST-355_+005_347.0_N603811_GW.23,-142.518,2018.071
VST-386_+010_350.3_N60632_GW.23,-147.196,2020.434
VST-352_+026_342.6_N775281_GW.23,-162.21,2022.29
VST-387_+010_350.5_N77266_GW.23,-121.98,2219.323
VST-371_+020_347.0_N77215_GW.23,-113.7,2373.03
VST-373_+011_347.1_N43151_GW.23,-104.48,2371.8
VST-388_+011_350.4_N77133_GW.23,-104.158,2371.683
P-EF62792A_+171_288.6_N57083_GW.22,990.24,2398.79
P-GH56885B_+133_272.4_N54686_GW.23,1986.56,2106.71
P-GH56505B_+149_319.8_N56843_GW.20,2106.71,1986.56
VST-3_+012_340.4_N77521_GW.23,475.03,1293.75
VST-321_+030_342.1_N77198_GW.23,184.307,1347.309
VST-322_+030_338.6_N59828_GW.23,182.66,1349.076
VST-384_+011_350.2_N59843_GW.23,6.377999989,1523.495
P-IJ0375C_+013_336.3_N43146_GW.23,311.322,1300.873
VST-TT2_010_352.3_N60741_GW.23,348.975,2670.695
VREF-EF62643A_-130_357.2_N88602_GW.22,1303.214,2518.146
VST-343_+011_344.0_N60742_GW.23,-134.73,1731.13
VST-363_+010_345.5_N77237_GW.23,-122.35,2219.52
P-EF63551A_-238_375.5_N54912_GW.22,859.963,3245.861
P-EF63551B_-238_381.0_N54912_GW.22,859.963,3245.861
P-EF63551C_-238_389.0_N54912_GW.22,859.963,3245.861
P-AB45000E_-227_373.7_N019_GW.21,4812.835,6221.709
P-AB45000F_-227_399.7_N019_GW.21,4813.413,6221.481
P-AB45000G_-227_407.7_N019_GW.21,4813.934,6222.145
P-EF62643A_-011_343.0_N124_GW.22,1231.9,2421.9
P-EF63315G_-200_375.3_N173_GW.21,947.689,3022.794
P-EF63314B_-068_374.0_N095_GW.22,832.48,2958.349
P-GH56110Y_-156_373.1_N218_GW.20,2448.923,2466.398
P-GH56450T_-159_388.9_N184_GW.20,1945.653,2254.019
P-GH56450U_-159_377.4_N184_GW.20,1945.653,2254.019
P-GH56450V_-159_357.4_N184_GW.20,1945.653,2254.019
P-GH56450W_-159_368.9_N184_GW.20,1945.653,2254.019
P-GH56450X_-159_342.4_N184_GW.20,1945.653,2254.019
P-GH56505A_+149_265.9_N56843_GW.20,2106.71,1986.56
P-GH56469C_-069_372.5_N226_GW.20,1991.324,2174.523
P-AB45901B_-248_396.4_N315_GW.21,5187.331,5456.45
P-EF62643G_-185_372.6_N140_GW.22,1344.101,2555.53
PU2537_FT1,-221.1631383,2004.665101
PU2532_FT1,143.6936312,1280.930504
